catcher_id,target_base,pop_time
542208,3B,1.457
571912,3B,1.639
595978,3B,1.508
666128,3B,1.92
672275,3B,1.417
682515,3B,
641555,3B,
592407,3B,1.573
607257,3B,
661531,3B,1.517
663584,3B,
642082,3B,1.7
457763,3B,1.57
669221,3B,1.448
623143,3B,1.62
669224,3B,1.6
431145,3B,1.6
471083,3B,1.655
518700,3B,1.56
668721,3B,1.5
547379,3B,1.7
666163,3B,1.517
666165,3B,1.54
519222,3B,1.642
664119,3B,
681526,3B,
693307,3B,1.565
605244,3B,1.467
641598,3B,1.687
435263,3B,1.685
452672,3B,1.62
623168,3B,1.47
672832,3B,
519237,3B,1.625
543302,3B,1.47
571974,3B,
554054,3B,
444489,3B,1.562
571466,3B,1.6
455755,3B,1.51
543308,3B,1.56
543309,3B,1.516
545358,3B,1.555
518735,3B,1.634
669257,3B,1.506
593993,3B,
571467,3B,
686676,3B,1.435
676439,3B,
642136,3B,1.535
608348,3B,1.5
572000,3B,
607333,3B,2.04
608360,3B,
642156,3B,
607345,3B,1.59
622194,3B,1.63
687221,3B,1.53
451705,3B,1.63
474233,3B,
662139,3B,
473724,3B,
668800,3B,1.53
572033,3B,1.777
672386,3B,1.513
682626,3B,
543877,3B,1.544
543376,3B,1.578
465041,3B,1.59
663698,3B,1.58
641680,3B,1.562
467092,3B,1.578
596117,3B,1.52
596119,3B,1.48
656024,3B,1.457
664731,3B,
650907,3B,1.525
668832,3B,1.58
608422,3B,1.57
682663,3B,1.52
605357,3B,
596142,3B,1.478
491696,3B,1.587
663728,3B,1.475
593590,3B,1.59
645305,3B,1.615
542908,3B,1.64
446653,3B,
686780,3B,1.54
663743,3B,1.482
656577,3B,1.39
666310,3B,1.445
543432,3B,
665804,3B,1.59
592592,3B,1.685
660688,3B,1.586
150229,3B,
650968,3B,1.62
519390,3B,1.626
488671,3B,1.55
690924,3B,1.49
605421,3B,1.54
457454,3B,1.57
446192,3B,1.67
657136,3B,1.543
542963,3B,1.53
656627,3B,1.47
460026,3B,1.57
492802,3B,
672515,3B,1.53
665861,3B,
689414,3B,1.65
571657,3B,
669450,3B,1.57
668939,3B,1.497
606988,3B,1.552
489232,3B,1.53
606992,3B,1.54
664850,3B,1.7
572180,3B,
576788,3B,
543510,3B,1.537
592663,3B,
643348,3B,
680728,3B,1.6
571679,3B,1.76
642336,3B,1.622
624419,3B,1.62
642851,3B,1.498
696100,3B,1.47
595751,3B,1.55
664874,3B,1.525
502570,3B,
425772,3B,1.663
460077,3B,1.53
657709,3B,1.6
624431,3B,1.588
518960,3B,1.574
643376,3B,1.551
542513,3B,
668974,3B,
656180,3B,1.97
425784,3B,1.503
430910,3B,
488771,3B,1.562
643396,3B,
645444,3B,
691011,3B,1.45
592200,3B,1.653
680777,3B,1.522
691016,3B,1.47
680779,3B,1.445
669004,3B,1.61
663886,3B,1.588
506702,3B,1.53
681807,3B,1.48
644433,3B,1.51
671056,3B,1.635
608596,3B,1.61
595284,3B,1.552
516949,3B,1.61
664926,3B,1.68
657247,3B,
682848,3B,
547172,3B,1.538
446308,3B,1.613
686948,3B,1.47
435559,3B,1.635
543592,3B,1.585
488810,3B,
665966,3B,1.46
519023,3B,1.625
543089,3B,
686452,3B,1.54
435064,3B,1.643
516472,3B,1.59
664954,3B,1.57
506747,3B,1.65
650619,3B,1.55
572287,3B,1.589
624512,3B,1.644
624513,3B,1.55
434563,3B,1.62
641924,3B,1.59
424325,3B,1.52
640902,3B,1.78
434567,3B,1.61
681351,3B,1.587
641929,3B,
661388,3B,1.538
553869,3B,
456078,3B,1.623
594828,3B,1.635
518542,3B,1.52
600466,3B,1.61
686482,3B,1.5
425877,3B,1.798
489365,3B,1.63
600474,3B,1.585
553882,3B,1.632
620443,3B,1.448
669087,3B,1.477
454560,3B,
663967,3B,
502182,3B,
666023,3B,1.53
541608,3B,1.64
519083,3B,1.6
425900,3B,
543148,3B,1.62
553902,3B,1.745
700337,3B,1.61
621493,3B,
575929,3B,1.551
608700,3B,1.61
456124,3B,1.69
641470,3B,1.59
572863,3B,1.58
455104,3B,1.618
518595,3B,1.594
669127,3B,1.46
621512,3B,1.528
605131,3B,1.602
571851,3B,1.6
455117,3B,1.54
669134,3B,1.505
488912,3B,
673237,3B,1.513
665561,3B,1.51
621529,3B,
521692,3B,
621532,3B,1.58
602080,3B,
680418,3B,
455139,3B,1.722
642020,3B,1.53
641511,3B,1.53
460269,3B,1.61
605170,3B,
542194,3B,1.52
607732,3B,1.555
595956,3B,1.565
656883,3B,1.53
668663,3B,1.69
543228,3B,1.594
595453,3B,1.648
668670,3B,1.523
452095,3B,1.655
542208,2B,1.968
571912,2B,1.971
595978,2B,1.926
666128,2B,2.1
672275,2B,1.863
682515,2B,1.98
641555,2B,
592407,2B,1.978
607257,2B,
661531,2B,2.0
663584,2B,1.89
642082,2B,2.122
457763,2B,2.012
669221,2B,1.92
623143,2B,2.0
669224,2B,1.96
431145,2B,2.02
471083,2B,2.07
518700,2B,2.03
668721,2B,1.99
547379,2B,1.976
666163,2B,1.932
666165,2B,2.017
519222,2B,2.06
664119,2B,2.09
681526,2B,1.97
693307,2B,1.95
605244,2B,1.94
641598,2B,2.024
435263,2B,2.075
452672,2B,2.045
623168,2B,1.948
672832,2B,2.05
519237,2B,2.015
543302,2B,2.007
571974,2B,
554054,2B,1.86
444489,2B,1.959
571466,2B,1.993
455755,2B,1.903
543308,2B,1.97
543309,2B,1.971
545358,2B,2.03
518735,2B,2.05
669257,2B,1.954
593993,2B,1.94
571467,2B,2.035
686676,2B,1.88
676439,2B,
642136,2B,1.995
608348,2B,1.991
572000,2B,2.12
607333,2B,1.977
608360,2B,2.015
642156,2B,2.03
607345,2B,2.018
622194,2B,2.097
687221,2B,1.94
451705,2B,1.96
474233,2B,2.15
662139,2B,2.007
473724,2B,2.22
668800,2B,2.014
572033,2B,1.98
672386,2B,1.987
682626,2B,
543877,2B,1.974
543376,2B,2.052
465041,2B,2.07
663698,2B,2.004
641680,2B,1.983
467092,2B,2.018
596117,2B,1.883
596119,2B,1.918
656024,2B,1.968
664731,2B,
650907,2B,1.9
668832,2B,2.0
608422,2B,1.97
682663,2B,2.01
605357,2B,1.95
596142,2B,1.929
491696,2B,2.005
663728,2B,1.968
593590,2B,1.9
645305,2B,1.93
542908,2B,2.013
446653,2B,
686780,2B,1.935
663743,2B,1.948
656577,2B,1.952
666310,2B,1.972
543432,2B,2.047
665804,2B,2.0
592592,2B,2.095
660688,2B,2.042
150229,2B,
650968,2B,2.1
519390,2B,2.103
488671,2B,2.015
690924,2B,1.95
605421,2B,1.978
457454,2B,2.09
446192,2B,2.045
657136,2B,1.926
542963,2B,2.01
656627,2B,1.92
460026,2B,2.018
492802,2B,1.987
672515,2B,1.908
665861,2B,
689414,2B,1.99
571657,2B,2.07
669450,2B,2.08
668939,2B,1.935
606988,2B,1.968
489232,2B,1.985
606992,2B,1.919
664850,2B,2.05
572180,2B,2.255
576788,2B,2.01
543510,2B,2.005
592663,2B,
643348,2B,2.055
680728,2B,2.04
571679,2B,2.12
642336,2B,1.935
624419,2B,1.883
642851,2B,1.983
696100,2B,1.97
595751,2B,1.963
664874,2B,1.984
502570,2B,1.985
425772,2B,2.062
460077,2B,1.942
657709,2B,2.08
624431,2B,2.04
518960,2B,2.012
643376,2B,1.999
542513,2B,2.07
668974,2B,1.92
656180,2B,1.954
425784,2B,1.943
430910,2B,2.23
488771,2B,2.011
643396,2B,2.03
645444,2B,
691011,2B,1.94
592200,2B,2.026
680777,2B,1.985
691016,2B,1.97
680779,2B,1.89
669004,2B,2.035
663886,2B,1.985
506702,2B,1.991
681807,2B,1.955
644433,2B,1.918
671056,2B,1.992
608596,2B,2.041
595284,2B,1.974
516949,2B,2.03
664926,2B,2.01
657247,2B,1.97
682848,2B,1.88
547172,2B,1.973
446308,2B,2.064
686948,2B,1.96
435559,2B,2.06
543592,2B,1.974
488810,2B,2.07
665966,2B,1.92
519023,2B,2.037
543089,2B,2.01
686452,2B,1.917
435064,2B,2.073
516472,2B,2.05
664954,2B,2.057
506747,2B,2.007
650619,2B,1.98
572287,2B,1.99
624512,2B,1.962
624513,2B,2.057
434563,2B,2.085
641924,2B,1.95
424325,2B,1.95
640902,2B,1.93
434567,2B,2.06
681351,2B,2.045
641929,2B,2.09
661388,2B,1.967
553869,2B,
456078,2B,1.945
594828,2B,2.03
518542,2B,1.983
600466,2B,1.99
686482,2B,1.87
425877,2B,1.981
489365,2B,2.16
600474,2B,1.973
553882,2B,2.021
620443,2B,1.944
669087,2B,1.973
454560,2B,
663967,2B,1.99
502182,2B,2.08
666023,2B,1.91
541608,2B,2.07
519083,2B,2.02
425900,2B,2.03
543148,2B,2.05
553902,2B,2.0
700337,2B,1.95
621493,2B,1.99
575929,2B,1.942
608700,2B,2.089
456124,2B,2.0
641470,2B,2.045
572863,2B,1.996
455104,2B,2.055
518595,2B,2.013
669127,2B,1.908
621512,2B,1.929
605131,2B,2.065
571851,2B,1.99
455117,2B,1.944
669134,2B,1.937
488912,2B,2.075
673237,2B,1.953
665561,2B,1.878
621529,2B,2.025
521692,2B,
621532,2B,1.962
602080,2B,1.99
680418,2B,2.12
455139,2B,2.033
642020,2B,1.935
641511,2B,1.977
460269,2B,2.077
605170,2B,
542194,2B,1.892
607732,2B,1.999
595956,2B,2.013
656883,2B,2.11
668663,2B,2.027
543228,2B,1.959
595453,2B,1.991
668670,2B,1.932
452095,2B,2.128
